x,T,flux
0,1,0.00390752
1,0.962538,0.00390752
2,0.928056,0.00390752
3,0.896115,0.00390752
4,0.866365,0.00390752
5,0.838525,0.00390752
6,0.812364,0.00390752
7,0.787691,0.00390752
8,0.764346,0.00390752
9,0.742193,0.00390752
10,0.721116,0.00390752
11,0.701015,0.00390752
12,0.681804,0.00390752
13,0.663407,0.00390752
14,0.645759,0.00390752
15,0.6288,0.00390752
16,0.612479,0.00390752
17,0.596749,0.00390752
18,0.58157,0.00390752
19,0.566903,0.00390752
20,0.552716,0.00390752
21,0.538978,0.00390752
22,0.525661,0.00390752
23,0.512741,0.00390752
24,0.500194,0.00390752
25,0.488,0.00390752
26,0.476139,0.00390752
27,0.464593,0.00390752
28,0.453347,0.00390752
29,0.442384,0.00390752
30,0.431692,0.00390752
31,0.421256,0.00390752
32,0.411066,0.00390752
33,0.401109,0.00390752
34,0.391375,0.00390752
35,0.381855,0.00390752
36,0.372539,0.00390752
37,0.363419,0.00390752
38,0.354487,0.00390752
39,0.345735,0.00390752
40,0.337155,0.00390752
41,0.328742,0.00390752
42,0.320489,0.00390752
43,0.31239,0.00390752
44,0.304439,0.00390752
45,0.296631,0.00390752
46,0.288961,0.00390752
47,0.281424,0.00390752
48,0.274016,0.00390752
49,0.266732,0.00390752
50,0.259569,0.00390752
51,0.252521,0.00390752
52,0.245587,0.00390752
53,0.238761,0.00390752
54,0.232041,0.00390752
55,0.225423,0.00390752
56,0.218905,0.00390752
57,0.212483,0.00390752
58,0.206154,0.00390752
59,0.199917,0.00390752
60,0.193768,0.00390752
61,0.187705,0.00390752
62,0.181725,0.00390752
63,0.175827,0.00390752
64,0.170007,0.00390752
65,0.164265,0.00390752
66,0.158598,0.00390752
67,0.153003,0.00390752
68,0.14748,0.00390752
69,0.142026,0.00390752
70,0.13664,0.00390752
71,0.13132,0.00390752
72,0.126064,0.00390752
73,0.120871,0.00390752
74,0.11574,0.00390752
75,0.110668,0.00390752
76,0.105655,0.00390752
77,0.100699,0.00390752
78,0.0957995,0.00390752
79,0.0909543,0.00390752
80,0.0861626,0.00390752
81,0.0814232,0.00390752
82,0.076735,0.00390752
83,0.0720968,0.00390752
84,0.0675077,0.00390752
85,0.0629666,0.00390752
86,0.0584725,0.00390752
87,0.0540245,0.00390752
88,0.0496215,0.00390752
89,0.0452628,0.00390752
90,0.0409473,0.00390752
91,0.0366744,0.00390752
92,0.0324431,0.00390752
93,0.0282526,0.00390752
94,0.0241022,0.00390752
95,0.0199911,0.00390752
96,0.0159186,0.00390752
97,0.0118839,0.00390752
98,0.00788633,0.00390752
99,0.00392526,0.00390752
100,0,0.00390752
