x,T,flux
0,0.962901,0.0025
1,0.952905,0.00249771
2,0.942919,0.00249542
3,0.932942,0.00249314
4,0.922974,0.00249085
5,0.913015,0.00248857
6,0.903065,0.00248629
7,0.893125,0.00248401
8,0.883193,0.00248174
9,0.873271,0.00247947
10,0.863358,0.00247721
11,0.853453,0.00247495
12,0.843558,0.0024727
13,0.833672,0.00247046
14,0.823794,0.00246822
15,0.813926,0.00246599
16,0.804066,0.00246377
17,0.794216,0.00246156
18,0.784374,0.00245936
19,0.774541,0.00245716
20,0.764717,0.00245498
21,0.754901,0.00245281
22,0.745094,0.00245065
23,0.735296,0.0024485
24,0.725506,0.00244637
25,0.715725,0.00244425
26,0.705952,0.00244214
27,0.696188,0.00244005
28,0.686432,0.00243797
29,0.676684,0.00243591
30,0.666944,0.00243386
31,0.657213,0.00243183
32,0.64749,0.00242982
33,0.637774,0.00242782
34,0.628067,0.00242584
35,0.618368,0.00242388
36,0.608676,0.00242194
37,0.598992,0.00242002
38,0.589316,0.00241811
39,0.579647,0.00241623
40,0.569986,0.00241437
41,0.560332,0.00241253
42,0.550686,0.00241071
43,0.541047,0.00240891
44,0.531415,0.00240714
45,0.52179,0.00240539
46,0.512171,0.00240366
47,0.50256,0.00240195
48,0.492956,0.00240027
49,0.483358,0.00239862
50,0.473767,0.00239699
51,0.464182,0.00239538
52,0.454604,0.0023938
53,0.445032,0.00239225
54,0.435466,0.00239072
55,0.425906,0.00238922
56,0.416352,0.00238775
57,0.406804,0.0023863
58,0.397262,0.00238489
59,0.387725,0.0023835
60,0.378194,0.00238214
61,0.368668,0.00238081
62,0.359147,0.00237951
63,0.349632,0.00237824
64,0.340121,0.00237699
65,0.330616,0.00237578
66,0.321115,0.0023746
67,0.311619,0.00237345
68,0.302127,0.00237234
69,0.29264,0.00237125
70,0.283157,0.00237019
71,0.273679,0.00236917
72,0.264204,0.00236818
73,0.254733,0.00236722
74,0.245266,0.0023663
75,0.235803,0.00236541
76,0.226343,0.00236455
77,0.216886,0.00236372
78,0.207433,0.00236293
79,0.197983,0.00236217
80,0.188536,0.00236145
81,0.179091,0.00236076
82,0.16965,0.0023601
83,0.160211,0.00235948
84,0.150774,0.00235889
85,0.141339,0.00235834
86,0.131907,0.00235782
87,0.122477,0.00235734
88,0.113048,0.0023569
89,0.103622,0.00235648
90,0.0941964,0.00235611
91,0.0847727,0.00235577
92,0.0753502,0.00235546
93,0.0659289,0.0023552
94,0.0565087,0.00235496
95,0.0470892,0.00235476
96,0.0376705,0.0023546
97,0.0282524,0.00235448
98,0.0188347,0.00235439
99,0.00941727,0.00235433
100,0,0.00235432
