x,T,flux
0,0,-0.00499998
1,0.0197999,-0.00489998
2,0.0391999,-0.00479998
3,0.0581998,-0.00469998
4,0.0767997,-0.00459998
5,0.0949996,-0.00449998
6,0.1128,-0.00439998
7,0.1302,-0.00429998
8,0.147199,-0.00419998
9,0.163799,-0.00409998
10,0.179999,-0.00399998
11,0.195799,-0.00389998
12,0.211199,-0.00379998
13,0.226199,-0.00369998
14,0.240799,-0.00359998
15,0.254999,-0.00349998
16,0.268799,-0.00339998
17,0.282199,-0.00329998
18,0.295199,-0.00319998
19,0.307799,-0.00309999
20,0.319999,-0.00299999
21,0.331799,-0.00289999
22,0.343199,-0.00279999
23,0.354199,-0.00269999
24,0.364798,-0.00259999
25,0.374998,-0.00249999
26,0.384798,-0.00239999
27,0.394198,-0.00229999
28,0.403198,-0.00219999
29,0.411798,-0.00209999
30,0.419998,-0.00199999
31,0.427798,-0.00189999
32,0.435198,-0.00179999
33,0.442198,-0.00169999
34,0.448798,-0.00159999
35,0.454998,-0.00149999
36,0.460798,-0.00139999
37,0.466198,-0.00129999
38,0.471198,-0.00119999
39,0.475798,-0.00109999
40,0.479998,-0.000999995
41,0.483798,-0.000899995
42,0.487198,-0.000799996
43,0.490198,-0.000699996
44,0.492798,-0.000599997
45,0.494998,-0.000499997
46,0.496798,-0.000399998
47,0.498198,-0.000299998
48,0.499198,-0.000199999
49,0.499798,-9.99994e-05
50,0.499998,-8.32667e-18
51,0.499798,9.99994e-05
52,0.499198,0.000199999
53,0.498198,0.000299998
54,0.496798,0.000399998
55,0.494998,0.000499997
56,0.492798,0.000599997
57,0.490198,0.000699996
58,0.487198,0.000799996
59,0.483798,0.000899995
60,0.479998,0.000999995
61,0.475798,0.00109999
62,0.471198,0.00119999
63,0.466198,0.00129999
64,0.460798,0.00139999
65,0.454998,0.00149999
66,0.448798,0.00159999
67,0.442198,0.00169999
68,0.435198,0.00179999
69,0.427798,0.00189999
70,0.419998,0.00199999
71,0.411798,0.00209999
72,0.403198,0.00219999
73,0.394198,0.00229999
74,0.384798,0.00239999
75,0.374998,0.00249999
76,0.364798,0.00259999
77,0.354199,0.00269999
78,0.343199,0.00279999
79,0.331799,0.00289999
80,0.319999,0.00299999
81,0.307799,0.00309999
82,0.295199,0.00319998
83,0.282199,0.00329998
84,0.268799,0.00339998
85,0.254999,0.00349998
86,0.240799,0.00359998
87,0.226199,0.00369998
88,0.211199,0.00379998
89,0.195799,0.00389998
90,0.179999,0.00399998
91,0.163799,0.00409998
92,0.147199,0.00419998
93,0.1302,0.00429998
94,0.1128,0.00439998
95,0.0949996,0.00449998
96,0.0767997,0.00459998
97,0.0581998,0.00469998
98,0.0391999,0.00479998
99,0.0197999,0.00489998
100,0,0.00499998
